黑橙子,2,233,['2021-02-12'],烂得挠头。
我要你的哥哥,1,210,['2021-02-12'],什么玩意 一星都不想给 骗钱的大烂片 周迅陈坤以后别再吹什么演技派了 明明是骗钱派 赤裸裸的假宣传 这种欺骗观众欺诈消费者的行为难道不应该被抵制？周迅是老的没法见人了嘛 出场10分钟 就nm恶心🤢
豆友,5,380,['2021-02-12'],从演员到班底到剧本都非常值得期待的一部作品，所以早早的就看了，整体算是基本符合预期（本身就预期比较高了，毕竟陈坤+周迅+寻龙诀团队+阴阳师背景，太对我胃口了哈哈哈哈，针对不肝游戏的，如果喜欢看大场景的也可以考虑，画面很美值回票价
前苏联游魂,4,238,['2021-02-12'],这部片子对我来说意义非凡，因为我五六年前说过陈坤是国内最适合演阴阳师的人选，那时候他演了个钟馗；也曾许愿过陈坤陈伟霆合作，俩人亦正亦邪亦妖亦神雌雄共体的气质不合作一把合理吗；其三，继画皮后终于再次等到了坤迅粮，妖亦有情。一部片子同时圆满了我三个愿望。555神仙阵容我老汉落泪。
韦斯安徒生,2,218,['2021-02-12'],导演一旦拉胯了，什么阵容特效都拯救不了。
云深不知处,4,188,['2021-02-12'],视觉效果做的很好，故事情节连贯性比较好，不像晴雅集乱七八糟，人物表现方面演员都比较好，的确是周公子出来就觉得这电影好贵。总之最终打架那里boss死的太过于简单比较不足吧，但是我还是觉得比晴雅集那个到处裸男卖腐，衔接乱七八糟的垃圾片好多了。
招财旺运土壕金,4,150,['2021-02-12'],《侍神令》绝对是2021春节档最吃亏的影片。影片剧本是过硬的，而且在影片服化道美术风格上非常忠于原作风格。陈坤 周迅 屈楚萧的表演特别给人惊喜，周迅有几次把我惊艳到想在影院尖叫。在对非现实魔幻风格的创作中，电影团队请到了日本工作人员，让众妖怪格外可爱，萌感超乎预期的达标。唯独的失败之处可能就是一些段落会让人不自觉地联想《千与千寻》和《哈利波特》，最后的正邪大战还有点像在看《超人归来》和《超人钢铁之躯》……可是瑕不掩瑜，这依然是一部非常出色的东方魔幻大制作。魔幻片现在的市场太需要被拯救了，《侍神令》是很值得去影院看的，而且团队没有因为宏大场面就胡乱转制3D也非常良心。必须要为2021春节档最吃亏的影片摇旗呐喊一下，希望能有续集！
Camusholic.,2,181,['2021-02-12'],侍神令搁这玩sm呢，再看陈坤对周迅说你是我的主人我就要死了
蛋挞王子,2,172,['2021-02-12'],扑街无疑，连捉妖记一般的水平都达不到，主角？我想一定不是周公子和陈坤啊，感觉有1/5的时间都处于不露脸的状态，我接受不了！阴阳师文化我也是难有共鸣，Boss的造型也是丑哭，真的不知道看点是啥，两颗星是给我赶8点场的鼓励吧，唉…难过😫
不是假发是莉酱,1,180,['2021-02-12'],看得我头皮发麻胃酸翻涌
郭大侠,1,181,['2021-02-12'],难看的呀！
Tailer,1,166,['2021-02-12'],要剧情没剧情，要场面没场面，要特效没特效。一个海坊主的破楼，三次打架都用一个景。全部妖怪，要不是冷兵器，要不就是纯肉搏，你们的妖术呢，里面就雪女和桃花妖能看的过去，你起码跟游戏里的特效有点关系吧。白瞎大IP了，全篇一股子廉价味儿，我服了，桥断了妖怪来人间的路就断了，我真的拜托编剧动动脑子啊，周迅和陈坤救不了了，大家没买票的快跑吧，求了
一阵雨,3,55,['2021-02-12'],角色最完整的是屈楚萧，自身故事线完整，有成长，结尾都是以他的视角。周迅和陈伟霆更像是特出，角色都很扁平，性格转变也很突然，没有发展空间。沈月发挥不错，得益于角色适配。其他配角中规中矩。陈坤很可惜，妖感过重导致在演七年前时很突兀，而且因为剧本的缘故，晴明整个人物都很平。电影特效制景很好，但妖怪形象太过《捉妖记》，导致与真人共存太过割裂，不过好在很灵动。与《晴雅集》的区别就在于这部重点在描述妖和景，小四重点描写人和情。两者如果可以取长补短，应该能更好完成这个IP。
半生少年游,1,186,['2021-02-12'],真的，您工夫影业拍的真就不如郭敬明！郭敬明好歹还知道把画面做的漂亮，好歹还有个故事，故事还给你设计个悬念起伏，您这，毛都没有！周迅那角色存在的意义是什么？专门死给我看的吗！屈楚萧沈月那俩角色存在的意义是什么？对您最后的结局有啥推动作用？纯展现世界观的吗！我去，晴明还一见面就给源博雅绑个侍神令，沈月就一下子抱大腿哭着喊着我也要我也要，真他妈让人呕吐。卖腐也不是您这种卖法！更垃圾的是，后来又说不是。我呸！您就是既想当婊子又想立牌坊，既想卖个cp，又不好意思直说，您还不如郭敬明坦荡！最无语的就是陈伟霆那角色。我靠，美术造型直接拉出去喂狗，丑到爆！还有陈伟霆自己，能不要再扭捏个头装妖冶吗！辣眼睛！郭敬明是明摆着告诉你我就是卖肉。您这，卖肉都没人想看！呕！
TONG≥り,1,162,['2021-02-12'],看得不堪一击，牛头不对马嘴
金魚花火,1,166,['2021-02-12'],难以置信的差 竟然比晴雅集都差很多 说是根据游戏改编 既没有游戏的故事 也没有游戏的人设 角色名字改的乱七八糟 美术不及晴雅集华丽好看 音乐跟游戏一样是梅林茂 然而配乐在电影中也显得平凡无奇 晴明跟八百比丘尼谈恋爱 博雅跟神乐搞暧昧 整个都是直男编剧无根无据的胡编乱造 节奏拖沓 台词粗糙
饮泽,2,171,['2021-02-12'],中国导演在拍烂片的路上一直都很努力，如果不是有周迅陈坤这两个名字，电影两星都不配
米兰核心丹尼尔,2,115,['2021-02-12'],这剧本写的还不如郭敬明感人，而且两妖对垒居然是拼刺刀和拳击？
